#separator:Tab
#html:true
#notetype:Basic
#deck:Neovim::Keymaps
#tags column:3
#columns:Front	Back	Tags
What does <b>Space</b> do in <b>the global config</b>?<br><small>This config · leaders</small>	Global leader prefix for custom mappings.<br><br><small>Exact notation: <code>&lt;Space&gt;</code></small>	nvim config config::leaders context::global
What does <b>g- / g+</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Traverse older / newer states chronologically across undo branches.<br><br><small>Exact notation: <code>g- / g+</code></small>	nvim native native::undo_repeat mode::normal
What does <b>:undolist</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Undo/repeat</small>	Show undo-tree leaves.<br><br><small>Exact notation: <code>:undolist</code></small>	nvim native native::undo_repeat context::ex
What does <b>/pattern</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Search forward for a pattern.<br><br><small>Exact notation: <code>/pattern</code></small>	nvim native native::search_substitute mode::normal context::search
What does <b>?pattern</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Search backward for a pattern.<br><br><small>Exact notation: <code>?pattern</code></small>	nvim native native::search_substitute mode::normal context::search
What does <b>n / N</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	CONFIG OVERRIDE: repeat search in the same / opposite direction and recenter.<br><br><small>Exact notation: <code>n / N</code></small>	nvim native native::search_substitute mode::normal config::override
What does <b>* / #</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Search forward / backward for the exact word under the cursor.<br><br><small>Exact notation: <code>* / #</code></small>	nvim native native::search_substitute mode::normal
What does <b>g* / g#</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Search forward / backward for cursor text without word boundaries.<br><br><small>Exact notation: <code>g* / g#</code></small>	nvim native native::search_substitute mode::normal
What does <b>/ Ctrl+R Ctrl+W</b> do in <b>Command-line mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Insert the word under the cursor into the search.<br><br><small>Exact notation: <code>/&lt;C-r&gt;&lt;C-w&gt;</code></small>	nvim native native::search_substitute mode::command-line context::search
What does <b>\c / \C</b> do in <b>a search pattern</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Force case-insensitive / case-sensitive matching.<br><br><small>Exact notation: <code>\c / \C</code></small>	nvim native native::search_substitute context::search-pattern
What does <b>\V</b> do in <b>a search pattern</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Treat the remainder mostly literally with very nomagic.<br><br><small>Exact notation: <code>\V</code></small>	nvim native native::search_substitute context::search-pattern
What does <b>\ / \</b> do in <b>a search pattern</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Match a word start / word end.<br><br><small>Exact notation: <code>\&lt; / \&gt;</code></small>	nvim native native::search_substitute context::search-pattern
What does <b>:nohlsearch</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Hide search highlighting without clearing the pattern.<br><br><small>Exact notation: <code>:nohlsearch</code></small>	nvim native native::search_substitute context::ex
What does <b>:s/old/new/</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Replace the first match on the current line.<br><br><small>Exact notation: <code>:s/old/new/</code></small>	nvim native native::search_substitute context::ex
What does <b>:s/old/new/g</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Replace every match on the current line.<br><br><small>Exact notation: <code>:s/old/new/g</code></small>	nvim native native::search_substitute context::ex
What does <b>:%s/old/new/g</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Replace every match in the buffer.<br><br><small>Exact notation: <code>:%s/old/new/g</code></small>	nvim native native::search_substitute context::ex
What does <b>:%s/old/new/gc</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Replace buffer-wide with confirmation.<br><br><small>Exact notation: <code>:%s/old/new/gc</code></small>	nvim native native::search_substitute context::ex
What does <b>:&#x27; ,&#x27; s/old/new/g</b> do in <b>Visual mode or Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Replace throughout the last Visual line range.<br><br><small>Exact notation: <code>:&#x27;&lt;,&#x27;&gt;s/old/new/g</code></small>	nvim native native::search_substitute context::ex mode::visual
What does <b>:%s//new/g</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Replace the most recent search pattern.<br><br><small>Exact notation: <code>:%s//new/g</code></small>	nvim native native::search_substitute context::ex
What does <b>:%s/old//g</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Delete every matching occurrence.<br><br><small>Exact notation: <code>:%s/old//g</code></small>	nvim native native::search_substitute context::ex
What does <b>:s#old/path#new/path#g</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Use another delimiter for slash-heavy patterns.<br><br><small>Exact notation: <code>:s#old/path#new/path#g</code></small>	nvim native native::search_substitute context::ex
What does <b>&amp; / \0</b> do in <b>substitution replacement text</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Insert the entire matched text.<br><br><small>Exact notation: <code>&amp; / \0</code></small>	nvim native native::search_substitute context::replacement
What does <b>\1 through \9</b> do in <b>substitution replacement text</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Insert a captured subexpression.<br><br><small>Exact notation: <code>\1 through \9</code></small>	nvim native native::search_substitute context::replacement
What does <b>&amp;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Repeat the latest substitution on the current line.<br><br><small>Exact notation: <code>&amp;</code></small>	nvim native native::search_substitute mode::normal
What does <b>g&amp;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Repeat the latest substitution with flags across the buffer.<br><br><small>Exact notation: <code>g&amp;</code></small>	nvim native native::search_substitute mode::normal
What does <b>gn / gN</b> do in <b>Normal mode or Visual mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Search/substitute</small>	Select or operate through the next / previous search match.<br><br><small>Exact notation: <code>gn / gN</code></small>	nvim native native::search_substitute mode::normal mode::visual mode::operator-pending
What does <b>m{a-z}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Set a buffer-local mark.<br><br><small>Exact notation: <code>m{a-z}</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>m{A-Z}</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Set a global mark that can jump between files.<br><br><small>Exact notation: <code>m{A-Z}</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>&#x27;{mark}</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the mark&#x27;s line and first nonblank.<br><br><small>Exact notation: <code>&#x27;{mark}</code></small>	nvim native native::marks_jumps_changes mode::normal mode::operator-pending
What does <b>`{mark}</b> do in <b>Normal mode or Operator-pending mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the mark&#x27;s exact position.<br><br><small>Exact notation: <code>`{mark}</code></small>	nvim native native::marks_jumps_changes mode::normal mode::operator-pending
What does <b>&#x27;&#x27;</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the line before the latest jump.<br><br><small>Exact notation: <code>&#x27;&#x27;</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>``</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the exact position before the latest jump.<br><br><small>Exact notation: <code>``</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>&#x27;. / `.</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the line / exact position of the latest change.<br><br><small>Exact notation: <code>&#x27;. / `.</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>&#x27;^ / `^</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the line / exact position where Insert mode last ended.<br><br><small>Exact notation: <code>&#x27;^ / `^</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>`[ / `]</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the exact start / end of the last changed or yanked text.<br><br><small>Exact notation: <code>`[ / `]</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>` / `</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the exact start / end of the previous Visual selection.<br><br><small>Exact notation: <code>`&lt; / `&gt;</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>&#x27;0</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Jump to the position where this file was last exited.<br><br><small>Exact notation: <code>&#x27;0</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>Ctrl+O / Ctrl+I</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Move to older / newer positions in the jump list.<br><br><small>Exact notation: <code>&lt;C-o&gt; / &lt;C-i&gt;</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>:jumps</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Show the current window&#x27;s jump list.<br><br><small>Exact notation: <code>:jumps</code></small>	nvim native native::marks_jumps_changes context::ex
What does <b>g; / g,</b> do in <b>Normal mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Move to older / newer entries in the change list.<br><br><small>Exact notation: <code>g; / g,</code></small>	nvim native native::marks_jumps_changes mode::normal
What does <b>:changes</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Show the current buffer&#x27;s change list.<br><br><small>Exact notation: <code>:changes</code></small>	nvim native native::marks_jumps_changes context::ex
What does <b>:marks</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Show defined marks.<br><br><small>Exact notation: <code>:marks</code></small>	nvim native native::marks_jumps_changes context::ex
What does <b>:delmarks a b</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Delete selected marks.<br><br><small>Exact notation: <code>:delmarks a b</code></small>	nvim native native::marks_jumps_changes context::ex
What does <b>:delmarks!</b> do in <b>Ex command mode</b>?<br><small>Native Vim/Neovim · Marks/jumps/changes</small>	Delete all lowercase local marks.<br><br><small>Exact notation: <code>:delmarks!</code></small>	nvim native native::marks_jumps_changes context::ex
What does <b>o</b> do in <b>Visual mode</b>?<br><small>Native Vim/Neovim · Visual mode</small>	Move the cursor to the other end of the selection.<br><br><small>Exact notation: <code>o</code></small>	nvim native native::visual mode::visual
What does <b>O</b> do in <b>Visual mode (blockwise Visual sequence)</b>?<br><small>Native Vim/Neovim · Visual mode</small>	Move to the other horizontal corner.<br><br><small>Exact notation: <code>O</code></small>	nvim native native::visual mode::visual context::blockwise
What does <b>gv</b> do in <b>Normal mode or Visual mode</b>?<br><small>Native Vim/Neovim · Visual mode</small>	Reselect the previous Visual area and mode.<br><br><small>Exact notation: <code>gv</code></small>	nvim native native::visual mode::normal mode::visual
What does <b>d / c / y</b> do in <b>Visual mode</b>?<br><small>Native Vim/Neovim · Visual mode</small>	Delete / change / yank the selection.<br><br><small>Exact notation: <code>d / c / y</code></small>	nvim native native::visual mode::visual
What does <b>r{char}</b> do in <b>Visual mode</b>?<br><small>Native Vim/Neovim · Visual mode</small>	Replace every selected character with char.<br><br><small>Exact notation: <code>r{char}</code></small>	nvim native native::visual mode::visual
